"id","quantity","value","unit","provenance","evidence_status","source_or_route","uncertainty_or_range","used_by","blocks_if_wrong","canonical_definition"
"P-GSOL","Clear-sky global irradiance on the projected area","800-1000","W/m^2","requirement","literature_sourced","levinson2010 (>99% of AM1GH in 300-2500 nm; peak ~1000)","sweep band","thermal_bias sweep; Study A DOE","day-case magnitude","analysis/thermal_bias.py ASSUMPTIONS"
"P-TAIR","Ambient air temperature (heat-soak case)","30.0","degC","requirement","selected_operating_point","chosen operating point, not a property","fixed in DOE; varying it changes tau","all analyses","cross-climate transfer (adds the tau group)","analysis/thermal_bias.py ASSUMPTIONS"
"P-RHAIR","Ambient relative humidity anchor","50.0","%","requirement","selected_operating_point","chosen operating point","-","RH-error mapping","RH knock-on only","analysis/thermal_bias.py ASSUMPTIONS"
"P-WIND","External wind sweep","0.0-5.0","m/s","requirement","selected_operating_point","sweep band","-","h_ext via P-HFLOOR/P-HSLOPE","every convective result","analysis/thermal_bias.py ASSUMPTIONS"
"P-TSKY","Clear-sky depression T_air - T_sky","20.0","K","sourced_assumption","CONTRADICTED_BY_SOURCE","berdahlmartin1984: depression is a function of dewpoint, ~4-34 K; formetta2016: best models RMSE <=39 W/m^2 and site-specific","20 K corresponds to dewpoint ~8-12 degC only","night bias; N_r; f_sky terms","night sign reversal; all radiative results","literature/REVIEW_2026-09-22.md sec 2"
"P-HFLOOR","Free/low-wind convective floor","5.0","W/m^2K","sourced_assumption","CONTRADICTED_BY_SOURCE","defraeye2011: Juerges intercept is 5.6, valid U<=5 m/s on FREE-STREAM wind","berdahlbretz1997 brackets zero-wind h_c at 2.6-6.6","h_ext","dominant uncertainty term (h_c)","literature/REVIEW_2026-09-22.md sec 2"
"P-HSLOPE","Wind slope of h_ext","4.0","W/m^2K per m/s","sourced_assumption","CONTRADICTED_BY_SOURCE","defraeye2011: 4.0 is Juerges on free-stream U; against weather-station U10 measured slopes are 0.90-2.9","2-4x too steep if U is met-station wind","h_ext","dominant uncertainty term; WHICH WIND must be declared","literature/REVIEW_2026-09-22.md sec 2"
"P-EPS","Long-wave emissivity of painted/printed surface","0.90","-","sourced_assumption","CONTRADICTED_BY_SOURCE","barreira2021: nine measured polymer films give 0.86-0.89 +/-0.02, explicitly below the usual 0.90-0.95 band","0.85-0.95 band does bracket measurement; ~0.87-0.88 fits better","h_r; all radiative terms","radiative coupling; wrong eps costs ~1.3 degC typical","literature/REVIEW_2026-09-22.md sec 2"
"P-ALPHA-V0","Solar absorptance, dark baseline finish","0.90","-","sourced_assumption","CONTRADICTED_BY_SOURCE","berdahlbretz1997: measured black paint and black shingle both 0.95","0.90 UNDER-predicts a black finish - non-conservative for a self-heating model","V0 solar load","daytime V0 bias magnitude","literature/REVIEW_2026-09-22.md sec 2"
"P-ALPHA-SH","Solar absorptance, light/white finish","0.30","-","selected_design_value","literature_sourced","berdahlbretz1997: good white coatings 0.15-0.26; rough/soiled white shingle 0.79","defensible as a CONSERVATIVE allowance for a real, non-ideal white","V0P/V1 solar load","painted-control advantage","literature/REVIEW_2026-09-22.md sec 2"
