id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
EN-S01,1,P0,Agent,,Baseline and bounded plan,docs/SPRINT_ROADMAP.md; evidence/sprint-2026-09-05/baseline.md,Current identity and baseline failure reproduced,python -m compileall -q analysis; python analysis/check_literature_coverage.py; python analysis/thermal_bias.py --no-figure,4,done,evidence/sprint-2026-09-05/baseline.md,
EN-S02,1,P0,Owner,EN-S01,Confirm deployment provenance,docs/DEPLOYMENT_PROVENANCE_REQUEST.md,Confirmed intended window cadence clock and authorized exports,Manual source-backed provenance review,1,blocked,docs/DEPLOYMENT_PROVENANCE_REQUEST.md,Prepared not sent; Owner must supply intended configuration and authorized access
EN-S03,2,P0,Agent,EN-S01,Write regression tests first,analysis/tests/test_compute_metrics.py,Meaningful failures on original duplicate denominator and boundary cases,python -m unittest discover -s analysis/tests -v,1.5,done,evidence/sprint-2026-09-05/regressions.md,
EN-S04,2,P0,Agent,EN-S03,Correct scheduled availability,analysis/compute_metrics.py,Unique slots with explicit schedule and finite channel accounting,python -m unittest discover -s analysis/tests -v,3.5,done,evidence/sprint-2026-09-05/regressions.md,
EN-S05,3,P0,Agent,EN-S04,Integrate log metrics and unavailable provenance,analysis/analyze_deployment_logs.py; analysis/tests/test_deployment_metrics.py,No inferred completeness presented as configured; empty window handled,python -m unittest discover -s analysis/tests -v,2,done,evidence/sprint-2026-09-05/regressions.md,
EN-S06,3,P0,Agent,EN-S01,Correct thermal and evidence narrative,README.md; docs/results.md; analysis/thermal_bias_results.md; paper/manuscript_v1.md; docs/RELIABILITY_METRICS.md,Painted baseline visible and historical rates unverified,Model output comparison and documentation diff review,2.5,done,docs/results.md; evidence/sprint-2026-09-05/final-checks.md,
EN-S07,3,P0,Agent,EN-S05,Add behavioral CI checks,.github/workflows/ci.yml; CONTRIBUTING.md,Behavioral tests part of actual CI and local gates pass,python -m compileall -q analysis; python -m unittest discover -s analysis/tests -v,1.5,done,evidence/sprint-2026-09-05/final-checks.md,
EN-S08,4,P0,Agent,EN-S06;EN-S07,Consumer CLI and candidate freeze,evidence/sprint-2026-09-05/consumer-output.md; evidence/sprint-2026-09-05/candidate.json,Independent CLI invocation and hashed candidate recorded before extra cases,Documented absolute-path CLI from external working directory,4,done,evidence/sprint-2026-09-05/consumer-output.md,
EN-S09A,5,P0,Agent,EN-S08,Bounded developer evaluation,evidence/sprint-2026-09-05/evaluation.md,Expected judgments saved before candidate output; limitations explicit,Frozen deterministic synthetic selection procedure,3,done,evidence/sprint-2026-09-05/evaluation.md,
EN-S09B,5,P1,External,EN-S02;EN-S05,Reconcile actual field metrics,New versioned private-data output directory,Authorized exports plus intended metadata reproduce revised rates,Command prepared only once authorized paths and metadata exist,3,blocked,,Requires confirmed cadence deployment window and raw-log authorization
EN-S10,6,P0,Agent,EN-S08;EN-S09A,Final checks and review index,docs/REVIEW_READY.md,All software must-haves evidenced and incomplete field work named,Full local CI-equivalent checks and git diff --check,3,done,docs/REVIEW_READY.md; evidence/sprint-2026-09-05/final-checks.md,
EN-S11,6,P1,Owner,EN-S10,Independent human review,Review feedback or pending record,Human review identity and findings recorded; no fabricated approval,Ready-to-send review request,1,blocked,,Requires review packet and human availability
EN-D01,2026-09-08,P1,Agent,EN-S06,Promote matched-finish thermal control to reproducible main outputs,analysis/thermal_bias.py; analysis/tests/test_thermal_bias.py; analysis/output/thermal_bias_table.csv; analysis/figures/thermal_bias.png,V0P changes only absorptance and labels; every output includes control; legacy predictions unchanged; physical claims remain gated,python -m unittest discover -s analysis/tests -v; python analysis/thermal_bias.py; python evidence/sprint-2026-09-05/evaluate_candidate.py,2,done,evidence/task-2026-09-08/verification.md,
EN-D02,2026-09-09,P1,Agent,EN-D01,Report the night clear-sky (zero-solar) case from the existing thermal model,analysis/thermal_bias.py --night-table; analysis/output/thermal_bias_night_table.csv; analysis/tests/test_thermal_bias.py::NightClearSkyTests; analysis/thermal_bias_results.md section,"Same solver and assumptions with G=0; daytime table, figure and every legacy prediction byte-unchanged; tests assert sign and ordering only (no hand-typed magnitudes); painted control identical to dark box at night; physical claims remain SIMULATION / pending lab data",python analysis/thermal_bias.py --no-figure (writes night table); git diff --quiet HEAD -- analysis/output/thermal_bias_table.csv (unchanged); python -m unittest discover -s analysis/tests (11 OK); V0 calm night dT -4.028 C vs day +22.664 C,2,done,evidence/task-2026-09-09/README.md,
EN-D03,2026-09-09,P1,Agent,EN-D02,Prepare a falsifiable day/night pilot and intake rules,docs/COLOCATION_PROTOCOL.md; analysis/colocation_intake.py; analysis/tests/test_colocation_intake.py,"Specify proposed 24-hour co-location with independent calibration/uncertainty, intended schedule and honest sign-changing thermal hypotheses; test a fail-closed intake checker on synthetic cases.",See evidence/task-day3-2026-09-09/checks.json,,done,evidence/task-day3-2026-09-09/README.md; docs/specs/evidence-gap-correction/test-report.md,"Preparation and software only. Actual site/equipment identification, PI/data permission and measurements cannot be supplied by web research."
EN-R01,2026-09-11,P1,Agent,EN-D03,Reconcile draft protocol preparation,docs/COLOCATION_PROTOCOL.md; docs/COLOCATION_OWNER_SESSION.md,Draft has prospective schedule and proposed instrumentation quality targets; preparation is not PI approval,Manual protocol and owner-session review,,done,docs/specs/evidence-gap-correction/test-report.md,PI review and prospective protocol freeze remain external gates
EN-R02,2026-09-11,P1,Agent,EN-D03,Verify executable intake separately from protocol,analysis/colocation_intake.py; analysis/intake_gate.py; analysis/tests/test_colocation_intake.py; analysis/tests/test_intake_gate.py,Both module CLIs reject malformed inputs hash mismatch and deficient coverage; synthetic fixtures never validate thermal results,python -m unittest discover -s analysis/tests -v,,done,docs/specs/evidence-gap-correction/test-report.md,Software tests only; declared metadata is not authenticated
EN-R03,2026-09-11,P0,Owner,EN-R01;EN-R02;EN-S02,Acquire and review actual co-location evidence,Permission-cleared raw CSV and metadata; signed provenance review; preregistered comparison,Actual equipment calibration PI approval and frozen protocol precede acquisition; human review precedes any physical agreement claim,Documented intake CLI plus authenticated provenance and uncertainty review,,blocked,docs/COLOCATION_OWNER_SESSION.md,No actual pilot CSV equipment calibration PI approval or preregistered model agreement tolerance available
EN-R03S,2026-09-12,P1,Agent,EN-D03,Run a complete synthetic CSV-to-analysis rehearsal connecting intake checks to the existing metrics,analysis/colocation_rehearsal.py (generate known-answer CSV -> colocation_intake CLI -> compute_metrics -> rehearsal.json); analysis/tests/test_colocation_rehearsal.py (16 tests),One command runs intake then metrics on the same bytes; generated cases carry known answers computed from the values as written and the comparison is exact; every malformed-data class the intake refuses is exercised end to end and stops the chain before metrics; INCOMPLETE is distinguished from REFUSED; synthetic data is always SYNTHETIC_ONLY and validates_thermal_model is False in every output,"PYTHONPATH=. python -m analysis.colocation_rehearsal --out-dir build/rehearsal (exit 0, SYNTHETIC_ONLY, known-answer ALL OK); python -m unittest analysis.tests.test_colocation_rehearsal (16 OK); discover: 68 tests, 2 known sandbox-only failures in test_metrics_cli (green in CI); compileall 0; check_literature_coverage 0",,done,evidence/task-2026-09-12/README.md,"No physical CSV exists; EN-S02 provenance and EN-S11 PI review unchanged. The rehearsal proves the arithmetic chain, not the enclosure."
EN-R04,2026-09-16,P1,Agent,EN-R03S,Make rehearsal refusal precede generation writes (evidence preservation); follow-up to EN-R03S,analysis/colocation_rehearsal.py (require_free_output; refusal before write_inputs); analysis/tests/test_colocation_rehearsal.py::GenerationRefusalTests (4 tests),"A refused generation rerun exits 5 before any file is changed/created/removed (recursive byte manifest incl. an unrelated sentinel unchanged); pre-existing rehearsal.csv/.metadata.json refused before overwrite, including the same directory via a symlink; a fresh/empty directory works and unrelated files survive; fresh generation still SYNTHETIC_ONLY with matching CSV/metadata hashes and validates_thermal_model=false; snapshot() and external-input replay/tamper cases unchanged",PYTHONPATH=. python -m unittest discover -s analysis/tests (90 OK); the 4 new tests FAIL (failures=3) against the unfixed main source and pass against the fix; python -m compileall -q analysis (0),2,done,evidence/task-2026-09-16/README.md,
EN-R05,2026-09-16,P2,Agent,EN-R03S,Reconcile SPRINT_PROGRESS.md EN-R03S mis-attribution and separate historic vs prospective evidence routes,docs/SPRINT_PROGRESS.md dated correction,"EN-R03 named for the blocked Owner acquisition/review; EN-R03S identified as the separate done synthetic rehearsal; a dated [Corrected 2026-09-16] marker records the change; dated historical entries, ledger statuses and ledger bytes preserved",PYTHONPATH=. python -m unittest analysis.tests.test_colocation_rehearsal.LedgerIntegrityTests (OK); manual diff review,1,done,evidence/task-2026-09-16/README.md,Owner routes O1 (send/receive historic provenance -> EN-S02) and O2 (prospective pilot decision) remain owner/PI-gated
EN-R06,2026-09-16,P2,Agent,EN-D02,Matched-control sensitivity screen: illustrative combined-assumption robustness check on the existing solver,analysis/matched_control_sensitivity.py; analysis/tests/test_matched_control_sensitivity.py (8 tests); analysis/thermal_bias_results.md section,"24 paired V0P/V1 cases (8 illustrated V1 combinations x 3 operating cases) on the existing solver; day nominal absolute-bias advantage +1.4771 C reverses to -1.5531 C under the combined illustrated perturbations; zero-solar night removes absorptance/preheat effects; no base-variant mutation; identical-variant control has zero contrast; not asserted that every case favors V1; illustrative only, no uncertainty bound/validation band",PYTHONPATH=. python -m unittest analysis.tests.test_matched_control_sensitivity (8 OK); python -m analysis.matched_control_sensitivity --out <fresh>.csv (exit 0); committed thermal day/night tables byte-unchanged,2,done,evidence/task-2026-09-16/README.md,
EN-A01,2026-09-16,P0,Agent,EN-D02,PhD novelty gate and scope decision (is dimensionless-collapse prediction PhD- or MS-scale?),docs/PHD_SCOPE_AND_NOVELTY.md,Literature check cross-checked against the 26-source matrix; blunt verdict with citations; named methodological competitor (Barbaresco 2019); PhD-only-if-narrowed framing anchored on printed AQ enclosures + internal-dissipation + predict-before-build + failure-mapping; 5 matrix gaps listed as full-read-pending (not cited as assessed),Manual review of docs/PHD_SCOPE_AND_NOVELTY.md against docs/studyA_nondimensional.md and ProConsList/,3,done,docs/PHD_SCOPE_AND_NOVELTY.md,Verdict is borderline; PhD scale requires experimental validation (Studies C/D) which remain PI/permission/funding gated
