Paper,Sensor/System,Material,Geometry,Calibration/Validation,Deployment,Failure Mode / Lesson,Use in This Paper,Source
"Theisen et al. 2020","3D-printed weather station measuring temperature, RH, pressure, wind, solar radiation, precipitation","3D-printed station components; exact filament/material should be verified from full paper","UCAR 3D-PAWS-style integrated weather station","Compared against Oklahoma Mesonet station; 5 min averaging","8-month outdoor deployment in Norman, Oklahoma","Wind direction problematic; some sensors/components failed; long-term deployment requires maintenance and replacement","Supports full-system evaluation, autonomy, durability, and reference comparison","https://doi.org/10.5194/amt-13-4699-2020"
"Botero-Valencia et al. 2022","SHT10 temperature/RH sensors in radiation shields","PLA and ASA","Stacked truncated cones with 20 mm spacers; sensor holder inside shield; PVC mount","Compared exposed sensor, PLA shield, ASA shield, and Vantage Pro reference","Outdoor tests plus 30/90 day weathering exposure","ASA preferred for UV/weathering; modular shield can be customized; material affects durability","Supports enclosure material and geometry options; PLA vs ASA comparison","https://doi.org/10.1016/j.ohx.2022.e00267"
"Tatsumi et al. 2021","Open-source hydrometeorological system for temperature, soil moisture, and light","3D-printed housing for custom board","Compact board inside designed cover/housing","Compared field measurements with reference values","Open-field measurement system","System design must include board, housing, storage/communication, and portability","Supports baseline system description and field validation methods","https://doi.org/10.3390/technologies9040078"
"deSouza et al. 2022","Low-cost PM2.5 sensor network","Commercial low-cost sensor packages; material not primary focus","Networked sensor packages at multiple sites","Co-location based calibration and transfer/evaluation of calibration factors","Urban network calibration context","Calibration evaluated only at co-location can miss network-level issues","Supports calibration design and warning against over-claiming model transfer","https://doi.org/10.5194/amt-15-6309-2022"
"Clements et al. 2017","Low-cost air quality sensor tools","Varies by sensor platform","Varies by platform","Workshop summary recommends co-location, calibration, and repeated checks for drift","General low-cost sensor deployments","Temperature/RH effects, sensor variability, failure/replacement concerns","Supports calibration need and best-practice framing","https://doi.org/10.3390/s17112478"
"Giordano et al. 2021","Low-cost particulate matter mass sensors","Varies by PM sensor platform","PM sensor packages and co-location setups","Best practices for collocation calibration; account for RH/T, aerosol source, age","General PM sensor deployment/calibration","Biases depend on meteorology, aerosol properties, sensor age, and deployment setting","Supports calibration protocol and environmental covariates","https://doi.org/10.1016/j.jaerosci.2021.105833"
"Vajs et al. 2021","Low-cost air quality station with gases, PM, BME280 T/RH/pressure","Commercial low-cost station enclosure; material not primary focus","Outdoor station co-located with public monitoring station","Linear regression, multiple linear regression, ANN/ML corrections using T/RH","Data from 2019 and 2020 periods in Belgrade","Each sensor has its own T/RH sensitivity; recalibration is needed","Supports starting with LR/MLR and adding ML only if data justify it","https://doi.org/10.3390/s21103338"
"Grimsley et al. 2021","EnviSense ultra-low-power environmental sensing system","Outdoor environmental sensor nodes; material not primary focus","LPWAN environmental sensing nodes","System performance and deployment experience rather than only calibration","Over a dozen nodes; two-year design/implementation; six months continuous field measurement","Deployment planning and remote management are key reliability factors","Supports autonomy, reliability, and maintenance framing","https://doi.org/10.1145/3477085.3478988"
"Nordic AirSensEUR deployment 2023","AirSensEUR open air-quality systems with NO2, CO, NO, CO2, O3, OPC-N3, T/RH/pressure","Open low-cost AirSensEUR platform; material not primary focus","Outdoor air-quality sensor system","Calibration, correction, and evaluation under Nordic conditions","Network of ten devices in Stavanger, Norway","High RH affects optical PM; no universal PM correction; case-specific calibration","Supports ambient-condition correction and deployment reliability","https://www.mdpi.com/2073-4433/14/3/540"
"Tarara and Hoheisel 2007","Temperature sensors compared in low-cost passive shields","Reflective foil insulation with high albedo and low emissivity","Plate, stacked-plate, cone, double-cone, tube, rocket, pagoda, and perforated variants","Compared against the same sensor type in a standard Gill radiation shield","Outdoor field experiments under changing wind and solar irradiance","Open bottoms and poorly ventilated tubes produced large warm errors; stacked plates performed best","Direct geometry-selection evidence and reflected-radiation/ventilation criteria","https://doi.org/10.21273/HORTSCI.42.6.1372"
"Holden et al. 2013","Low-cost temperature sensors in custom shields","White corrugated plastic sheets","Folded Gill-style series of plates","Compared with commercial passive shields, RAWS, and mechanically aspirated ASOS reference","Three western Montana sites under canopy and full sun","Low-wind full-sun conditions increased warm bias; low-cost shield performed similarly to commercial passive shield","Low-cost manufacturable passive-shield benchmark","https://doi.org/10.1016/j.agrformet.2013.06.011"
"Lazarescu 2015","NTC temperature wildfire-monitoring nodes, gateways, RF and power system","Protective resin on PCB; compact node package; sealed plastic gateway package inside divided wooden birdhouse","Downward-facing vented node mounted vertically; gateway with solar panels and two internal compartments","Field behavior, health messages, power, RF, and failure analysis","50 sensor nodes and two gateways for 2.5 months in a Greek olive field","Solder fatigue, heat, poor antenna placement, charging failure, RF attenuation, and faulty-node traffic caused failures","Strong autonomy, packaging, deployment, and failure-mode evidence","https://doi.org/10.3390/s150409481"
"Daepp et al. 2022","Solar-powered cellular urban box measuring PM2.5, T, RH, pressure, and optional O3/NO2/SO2/CO","Custom weatherproof enclosure; exact material not reported","Modular unobtrusive urban sensor box optimized for environmental sensing","Laboratory calibration and research-monitor co-location","115 devices across Chicago; July-September 2021","Collected over 90% of expected sensor-hours; complete-system reliability and infrastructure remain key","Large-scale autonomy and modular-box example","https://doi.org/10.1109/IPSN54338.2022.00010"
"Liu et al. 2023","Pt100 platinum resistance thermometer","Silver-coated aluminum outer plates, black inner surfaces, white resin internal parts","Multilayer shield with two square plates, umbrella-shaped annular plates, cylindrical diversion pipe, eight vents, truncated-cone reflector","CFD analysis and outdoor experiments","Outdoor ground-temperature measurement experiments","Low-cost aluminum can oxidize; coating and ventilation control radiation error and service life","Detailed material, finish, vent, and reflected-radiation design option","https://doi.org/10.3390/atmos14030523"
"Garcia Izquierdo et al. 2024","41 calibrated Pt100 thermometers plus complete manufacturer systems","Ten commercial shield models; detailed materials vary and are not fully disclosed","Natural and active shields including multiplate and Stevenson-screen configurations","Pre/post calibration, 2-min sampling, quality control, shield intercomparison","14-month Arctic field campaign","Fan, logger, power, memory, mounting, and storm failures; maximum shield divergence 1.29 C under low wind","Long-term shield comparison and failure-mode benchmark","https://doi.org/10.3390/atmos15070841"
"Diez et al. 2024","43 commercial devices containing 119 gas and 118 PM sensors","Commercial protective cases; materials and internal layouts often proprietary","Multiple commercial black-box sensor systems","Three-year precision, accuracy, stability, relocation, and uncertainty evaluation","Multiple UK urban environments","Large variation between systems; manufacturer corrections, relocation, uncertainty, and long-term behavior matter","Supports long-term validation and warns against undocumented commercial packaging","https://doi.org/10.5194/amt-17-3809-2024"
"Deford et al. 2025","Small air-temperature sensor in aspirated housing","White PLA, hot glue during testing, fan and exposed circuits; more durable material/coating recommended","90-degree elbow inlet, concentric double-wall air gap, insect screen, central sensor supports, angled fan diffuser","Compared with passive and commercial aspirated reference shields","Outdoor testing including approximately half-year non-extreme exposure","Fan costs 680 mW; PLA/glue/circuits limit durability; geometry performed comparably to expensive options","Direct accuracy-versus-autonomy aspirated-shield design","https://doi.org/10.1175/JTECH-D-24-0006.1"
"Winter et al. 2025","Alphasense NO2-B43F, Ox-B431, NO-B4, and CO-B4 sensors in BEACO2N nodes","BEACO2N node enclosure material not the focus","Dense-network node geometry; details not reported in this paper","Frequently updated calibration and three-year performance evaluation","Three-year San Francisco Bay Area network deployment","Limited calibrated sensor degradation; mechanical/electrical failures often occurred before sensing-element degradation","Supports recalibration interval and true limiting-failure analysis","https://doi.org/10.1021/acssensors.5c00566"
"Jin et al. 2026","Thin-film Pt100 in an 8-mm copper spherical shell","CFD compares plastic, wood, Fe-Ni alloy, and aluminum; mirror-finish aluminum sunshade considered","Two 200-mm square shading plates and symmetric bowl-cover flow-guiding shrouds with 30-mm spacing","CFD material/geometry optimization and outdoor intercomparison","Outdoor near-surface air-temperature validation","Material properties and airflow geometry jointly affect radiation error; larger/complex geometry may affect manufacturability","Recent material-and-geometry optimization evidence","https://doi.org/10.3390/atmos17030272"
"Duvall et al. 2021 (EPA/600/R-20/280)","Protocol for any PM2.5 air sensor (non-regulatory)","Not applicable (protocol)","Not applicable (protocol)","Base testing: >=3 identical units collocated with FRM/FEM reference for >=30 days per site; metrics R^2, slope, intercept, RMSE/NRMSE, data completeness","Ambient outdoor fixed-site","No standard protocols existed before; uneven sensor evaluation","Justifies 30-day co-location target and the accuracy metric set in Section 4","https://cfpub.epa.gov/si/si_public_record_report.cfm?dirEntryId=350785"
"WMO 2023 (WMO-No. 8 Vol. I)","Practice guide for meteorological instruments (T, RH, pressure, wind, radiation)","Radiation screens/shields as practice guidance","Exposure/siting: mounting height, shielding, distance from surfaces and obstructions","States operational measurement-uncertainty requirements for reference instruments","Operational meteorological networks","Requirements written for reference networks; adapt, not adopt, for low-cost boxes","Anchors deployment siting rules and reference-uncertainty documentation in Section 4","https://library.wmo.int/records/item/68695-guide-to-instruments-and-methods-of-observation"
"ASTM D8406-22","Standard practice for outdoor air-quality sensor instruments (O3, CO, NO2, SO2, PM10, PM2.5)","Not applicable (standard)","Not applicable (standard)","Standardized field performance evaluation for portable and fixed-point instruments","Ambient outdoor","Full text paywalled; scope-level citation only pending library access","Citable consensus-standard evaluation practice for any gas/PM channel","https://store.astm.org/d8406-22.html"
"CEN/TS 17660-1:2021","Classification protocol for low-cost gaseous-pollutant sensor systems (O3, NO/NO2/NOx, CO, SO2, benzene)","Not applicable (specification)","Not applicable (specification)","Harmonized lab + field evaluation with performance classes, incl. a non-regulatory class","Fixed sites, ambient air (EU Directive 2008/50/EC context)","Part 1 gases only; full text paywalled, scope-level citation only","Template for tiered acceptance thresholds (performance classes) in Section 4","https://standards.cencenelec.eu/dyn/www/f?p=205:110:0::::FSP_PROJECT:65599"
"Szewczyk et al. 2004","150-node habitat-monitoring motes (temperature/humidity/light class sensors)","Weatherproofed mote packaging (full detail in companion papers; not re-verified here)","Single-hop and multi-hop network tiers","Systems analysis of a real 4-month deployment","4 months, Great Duck Island, ~150 devices","Node mortality and substantial data-yield loss; lifetime and reliability analyzed as primary results","Precedent for reporting data yield and failure analysis as first-class field results (Sections 2.4, 5.3)","https://doi.org/10.1145/1031495.1031521"
"Barrenetxea et al. 2008","SensorScope solar-powered environmental stations","Station packaging on masts (details in project papers; not re-verified here)","Distributed outdoor stations, multiple campaigns","Deployment-practice lessons from repeated real campaigns","Multiple field campaigns in varied environments","A functioning network does not guarantee meaningful data; pitfalls span development, packaging, power, and on-site validation","Deployment-protocol checklist support: bench-vs-field behavior differences motivate documenting the deployment timeline (Section 5.0)","https://doi.org/10.1145/1460412.1460418"
